,No.,Pos.,Player,DoB,Caps,Club,Age,Country,Club_Country,WC_Year
5394,15,DF,Teddy Lucic,1973-04-15,0,Västra Frölunda !Västra Frölunda,21.0,Sweden,Sweden,1994
5395,16,MF,Anders Limpar,1965-09-24,51,Everton !Everton,28.0,Sweden,England,1994
5396,17,MF,Stefan Rehn,1966-09-22,38,IFK Göteborg !IFK Göteborg,27.0,Sweden,Sweden,1994
5397,18,MF,Håkan Mild,1971-06-14,12,Servette !Servette,23.0,Sweden,Switzerland,1994
5398,19,FW,Kennet Andersson,1967-10-06,24,Lille !Lille,26.0,Sweden,France,1994
5399,20,DF,Magnus Erlingmark,1968-07-08,24,IFK Göteborg !IFK Göteborg,25.0,Sweden,Sweden,1994
5400,21,MF,Jesper Blomqvist,1974-02-05,8,IFK Göteborg !IFK Göteborg,20.0,Sweden,Sweden,1994
5401,22,GK,Magnus Hedman,1973-03-19,0,AIK !AIK,21.0,Sweden,Sweden,1994
5402,1,GK,Carlos Trucco,1957-08-08,44,Bolivar,36.0,Bolivia,Bolivia,1994
5403,2,DF,Juan Manuel Peña,1973-01-17,,Santa Fe,21.0,Bolivia,Colombia,1994
5404,3,DF,Marco Sandy,1971-08-29,,Bolívar,22.0,Bolivia,Bolivia,1994
5405,4,DF,Miguel Rimba,1967-11-01,,Bolívar,26.0,Bolivia,Bolivia,1994
5406,5,DF,Gustavo Quinteros,1965-02-15,,The Strongest,29.0,Bolivia,Bolivia,1994
5407,6,MF,Carlos Borja (c),1956-12-25,,Bolívar,37.0,Bolivia,Bolivia,1994
5408,7,MF,Mario Pinedo,1964-04-09,,Oriente Petrolero,30.0,Bolivia,Bolivia,1994
5409,8,MF,José Milton Melgar,1959-09-20,,The Strongest,34.0,Bolivia,Bolivia,1994
5410,9,FW,Álvaro Peña,1966-02-11,,Deportes Temuco,28.0,Bolivia,Chile,1994
5411,10,MF,Marco Etcheverry,1970-09-26,,Colo Colo,23.0,Bolivia,Chile,1994
5412,11,FW,Jaime Moreno,1974-01-19,,Blooming,20.0,Bolivia,Bolivia,1994
5413,12,GK,Darío Rojas,1960-01-20,,Oriente Petrolero,34.0,Bolivia,Bolivia,1994
5414,13,DF,Modesto Soruco,1966-02-12,,Once Caldas,28.0,Bolivia,Colombia,1994
5415,14,MF,Mauricio Ramos,1969-09-23,,Destroyers,24.0,Bolivia,Bolivia,1994
5416,15,MF,Vladimir Soria,1964-07-15,,Bolívar,29.0,Bolivia,Bolivia,1994
5417,16,DF,Luis Cristaldo,1969-08-31,,Bolivar,24.0,Bolivia,Bolivia,1994
5418,17,DF,Óscar Sánchez,1971-07-16,,The Strongest,22.0,Bolivia,Bolivia,1994
5419,18,FW,William Ramallo,1961-07-04,,Oriente Petrolero,32.0,Bolivia,Bolivia,1994
5420,19,GK,Marcelo Torrico,1972-01-11,,The Strongest,22.0,Bolivia,Bolivia,1994
5421,20,MF,Ramiro Castillo,1966-03-27,,Platense,28.0,Bolivia,Argentina,1994
5422,21,MF,Erwin Sánchez,1969-10-19,,Boavista,24.0,Bolivia,Portugal,1994
5423,22,MF,Julio César Baldivieso,1971-12-02,,Bolívar,22.0,Bolivia,Bolivia,1994
5424,1,GK,Bodo Illgner,1967-04-07,,1. FC Köln,27.0,Germany,Germany,1994
5425,2,MF,Thomas Strunz,1968-04-25,,VfB Stuttgart,26.0,Germany,Germany,1994
5426,3,DF,Andreas Brehme,1960-11-09,,1. FC Kaiserslautern,33.0,Germany,Germany,1994
5427,4,DF,Jürgen Kohler,1965-10-06,,Juventus,28.0,Germany,Italy,1994
5428,5,DF,Thomas Helmer,1965-04-21,,Bayern München,29.0,Germany,Germany,1994
5429,6,DF,Guido Buchwald,1961-01-24,,VfB Stuttgart,33.0,Germany,Germany,1994
5430,7,MF,Andreas Möller,1967-09-02,,Juventus,26.0,Germany,Italy,1994
5431,8,MF,Thomas Häßler,1966-05-30,,Roma,28.0,Germany,Italy,1994
5432,9,FW,Karl-Heinz Riedle,1965-09-16,,Borussia Dortmund,28.0,Germany,Germany,1994
5433,10,MF,Lothar Matthäus (c),1961-03-21,,Bayern München,33.0,Germany,Germany,1994
5434,11,FW,Stefan Kuntz,1962-10-30,,1. FC Kaiserslautern,31.0,Germany,Germany,1994
5435,12,GK,Andreas Köpke,1962-03-12,,1. FC Nürnberg,32.0,Germany,Germany,1994
5436,13,FW,Rudi Völler,1960-04-13,,Marseille,34.0,Germany,France,1994
5437,14,DF,Thomas Berthold,1964-11-12,,VfB Stuttgart,29.0,Germany,Germany,1994
5438,15,MF,Maurizio Gaudino,1966-12-12,,Eintracht Frankfurt,27.0,Germany,Germany,1994
5439,16,MF,Matthias Sammer,1967-09-05,,Borussia Dortmund,26.0,Germany,Germany,1994
5440,17,MF,Martin Wagner,1968-02-24,,1. FC Kaiserslautern,26.0,Germany,Germany,1994
5441,18,FW,Jürgen Klinsmann,1964-07-30,,AS Monaco,29.0,Germany,France,1994
5442,19,FW,Ulf Kirsten,1965-12-04,,Bayer Leverkusen,28.0,Germany,Germany,1994
5443,20,MF,Stefan Effenberg,1968-08-02,,Fiorentina,25.0,Germany,Italy,1994
5444,21,MF,Mario Basler,1968-12-18,,Werder Bremen,25.0,Germany,Germany,1994
5445,22,GK,Oliver Kahn,1969-06-15,,Karlsruher SC,25.0,Germany,Germany,1994
5446,1,GK,Choi In-young (c),1962-03-05,,Hyundai Horangi,32.0,Korea Republic,South Korea,1994
5447,2,DF,Chung Jong-son,1966-03-20,,Hyundai Horangi,28.0,Korea Republic,South Korea,1994
5448,3,DF,Lee Jong-hwa,1963-07-20,,Ilhwa Chunma,30.0,Korea Republic,South Korea,1994
5449,4,DF,Kim Pan-keun,1966-03-05,,LG Cheetahs,28.0,Korea Republic,South Korea,1994
5450,5,DF,Park Jung-bae,1967-02-19,,Daewoo Royals,27.0,Korea Republic,South Korea,1994
5451,6,MF,Lee Young-jin,1963-10-27,,LG Cheetahs,30.0,Korea Republic,South Korea,1994
5452,7,DF,Shin Hong-gi,1968-05-04,,Hyundai Horangi,26.0,Korea Republic,South Korea,1994
5453,8,MF,Noh Jung-yoon,1971-03-28,,Sanfrecce Hiroshima,23.0,Korea Republic,Japan,1994
5454,9,MF,Kim Joo-sung,1966-01-17,,VfL Bochum,28.0,Korea Republic,Germany,1994
5455,10,MF,Ko Jeong-woon,1966-06-27,,Ilhwa Chunma,27.0,Korea Republic,South Korea,1994
5456,11,FW,Seo Jung-won,1970-12-17,,Sangmu FC,23.0,Korea Republic,South Korea,1994
5457,12,DF,Choi Young-il,1966-04-25,,Hyundai Horangi,28.0,Korea Republic,South Korea,1994
5458,13,DF,An Ik-soo,1965-05-06,,Ilhwa Chunma,29.0,Korea Republic,South Korea,1994
5459,14,MF,Choi Dae-shik,1971-01-10,,LG Cheetahs,23.0,Korea Republic,South Korea,1994
5460,15,MF,Cho Jin-ho,1972-08-02,,POSCO Atoms,21.0,Korea Republic,South Korea,1994
5461,16,MF,Ha Seok-ju,1968-02-20,,Daewoo Royals,26.0,Korea Republic,South Korea,1994
5462,17,DF,Gu Sang-bum,1964-06-15,,Daewoo Royals,30.0,Korea Republic,South Korea,1994
5463,18,FW,Hwang Sun-hong,1968-07-14,,POSCO Atoms,25.0,Korea Republic,South Korea,1994
5464,19,MF,Choi Moon-sik,1971-01-06,,POSCO Atoms,23.0,Korea Republic,South Korea,1994
5465,20,DF,Hong Myung-bo,1969-02-12,,POSCO Atoms,25.0,Korea Republic,South Korea,1994
5466,21,GK,Park Chul-woo,1965-09-29,,LG Cheetahs,28.0,Korea Republic,South Korea,1994
5467,22,GK,Lee Woon-jae,1973-04-26,,Kyung Hee University,21.0,Korea Republic,South Korea,1994
5468,1,GK,Andoni Zubizarreta (c),1961-10-23,87,Barcelona,32.0,Spain,Spain,1994
5469,2,DF,Albert Ferrer,1970-06-06,16,Barcelona,24.0,Spain,Spain,1994
5470,3,DF,Jorge Otero,1969-03-08,5,Celta Vigo,25.0,Spain,Spain,1994
5471,4,DF,Francisco José Camarasa,1967-09-27,9,Valencia,26.0,Spain,Spain,1994
5472,5,DF,Abelardo,1970-03-19,9,Sporting Gijón,24.0,Spain,Spain,1994
5473,6,MF,Fernando Hierro,1968-03-23,23,Real Madrid,26.0,Spain,Spain,1994
5474,7,MF,Ion Andoni Goikoetxea,1965-10-21,22,Barcelona,28.0,Spain,Spain,1994
5475,8,MF,Julen Guerrero,1974-01-07,9,Athletic Bilbao,20.0,Spain,Spain,1994
5476,9,MF,Josep Guardiola,1971-01-18,11,Barcelona,23.0,Spain,Spain,1994
5477,10,MF,José Mari Bakero,1963-02-11,25,Barcelona,31.0,Spain,Spain,1994
5478,11,MF,Txiki Begiristain,1964-08-12,21,Barcelona,29.0,Spain,Spain,1994
5479,12,DF,Sergi,1971-12-28,2,Barcelona,22.0,Spain,Spain,1994
5480,13,GK,Santiago Cañizares,1969-12-18,4,Celta Vigo,24.0,Spain,Spain,1994
5481,14,FW,Juanele,1971-04-10,4,Sporting Gijón,23.0,Spain,Spain,1994
5482,15,MF,José Luis Caminero,1967-11-08,4,Atlético Madrid,26.0,Spain,Spain,1994
5483,16,FW,Felipe Miñambres,1965-04-29,4,Tenerife,29.0,Spain,Spain,1994
5484,17,DF,Voro,1963-10-09,4,Deportivo La Coruña,30.0,Spain,Spain,1994
5485,18,DF,Rafael Alkorta,1968-09-16,19,Real Madrid,25.0,Spain,Spain,1994
5486,19,FW,Julio Salinas,1962-09-11,43,Barcelona,31.0,Spain,Spain,1994
5487,20,DF,Miguel Ángel Nadal,1966-07-28,11,Barcelona,27.0,Spain,Spain,1994
5488,21,MF,Luis Enrique,1970-05-08,5,Real Madrid,24.0,Spain,Spain,1994
5489,22,GK,Julen Lopetegui,1966-08-28,1,Logroñés,27.0,Spain,Spain,1994
5490,1,GK,Sergio Goycochea,1963-10-17,,River Plate,30.0,Argentina,Argentina,1994
5491,2,DF,Sergio Vázquez,1965-11-23,,Universidad Católica,28.0,Argentina,Chile,1994
5492,3,DF,José Chamot,1969-05-17,,Foggia,25.0,Argentina,Italy,1994
5493,4,DF,Roberto Néstor Sensini,1966-10-12,,Parma,27.0,Argentina,Italy,1994
5494,5,MF,Fernando Redondo,1969-06-06,,Tenerife,25.0,Argentina,Spain,1994
5495,6,DF,Oscar Ruggeri,1962-01-26,,San Lorenzo,32.0,Argentina,Argentina,1994
5496,7,FW,Claudio Caniggia,1967-01-09,,Roma,27.0,Argentina,Italy,1994
5497,8,MF,José Basualdo,1963-06-20,,Vélez Sársfield,30.0,Argentina,Argentina,1994
5498,9,FW,Gabriel Batistuta,1969-02-01,,Fiorentina,25.0,Argentina,Italy,1994
5499,10,MF,Diego Maradona (c),1960-10-30,,Newell's Old Boys,33.0,Argentina,Argentina,1994
5500,11,FW,Ramón Medina Bello,1966-04-29,,Yokohama Marinos,28.0,Argentina,Japan,1994
5501,12,GK,Luis Islas,1965-12-22,,Independiente,28.0,Argentina,Argentina,1994
5502,13,DF,Fernando Cáceres,1969-02-07,,Real Zaragoza,25.0,Argentina,Spain,1994
5503,14,MF,Diego Simeone,1970-04-28,,Sevilla,24.0,Argentina,Spain,1994
5504,15,DF,Jorge Borelli,1964-11-02,,Racing,29.0,Argentina,Argentina,1994
5505,16,DF,Hernán Díaz,1965-02-26,,River Plate,29.0,Argentina,Argentina,1994
5506,17,MF,Ariel Ortega,1974-03-04,,River Plate,20.0,Argentina,Argentina,1994
5507,18,MF,Hugo Pérez,1968-10-06,,Independiente,25.0,Argentina,Argentina,1994
5508,19,FW,Abel Balbo,1966-06-01,,Roma,28.0,Argentina,Italy,1994
5509,20,MF,Leonardo Rodríguez,1966-08-27,,Borussia Dortmund,27.0,Argentina,Germany,1994
5510,21,MF,Alejandro Mancuso,1968-09-04,,Boca Juniors,25.0,Argentina,Argentina,1994
5511,22,GK,Norberto Scoponi,1961-01-13,,Newell's Old Boys,33.0,Argentina,Argentina,1994
5512,1,GK,Borislav Mikhailov (c),1963-02-12,66,Mulhouse,31.0,Bulgaria,France,1994
5513,2,DF,Emil Kremenliev,1969-08-13,7,Levski Sofia,24.0,Bulgaria,Bulgaria,1994
5514,3,DF,Trifon Ivanov,1965-07-27,39,Neuchâtel,28.0,Bulgaria,Switzerland,1994
5515,4,DF,Tsanko Tsvetanov,1970-01-06,16,Levski Sofia,24.0,Bulgaria,Bulgaria,1994
5516,5,DF,Petar Hubchev,1964-02-26,15,Hamburger SV,30.0,Bulgaria,Germany,1994
5517,6,MF,Zlatko Yankov,1966-08-07,31,Levski Sofia,27.0,Bulgaria,Bulgaria,1994
5518,7,FW,Emil Kostadinov,1967-08-12,32,Porto,26.0,Bulgaria,Portugal,1994
5519,8,FW,Hristo Stoichkov,1966-02-08,41,Barcelona,28.0,Bulgaria,Spain,1994
5520,9,MF,Yordan Letchkov,1967-07-09,14,Hamburger SV,26.0,Bulgaria,Germany,1994
5521,10,FW,Nasko Sirakov,1962-04-26,55,Levski Sofia,32.0,Bulgaria,Bulgaria,1994
5522,11,MF,Daniel Borimirov,1970-01-16,9,Levski Sofia,24.0,Bulgaria,Bulgaria,1994
5523,12,GK,Plamen Nikolov,1961-08-20,5,Levski Sofia,32.0,Bulgaria,Bulgaria,1994
5524,13,FW,Ivaylo Yordanov,1968-04-22,10,Sporting CP,26.0,Bulgaria,Portugal,1994
5525,14,MF,Boncho Genchev,1964-07-07,4,Ipswich Town,29.0,Bulgaria,England,1994
5526,15,DF,Nikolay Iliev,1964-03-31,48,Rennes,30.0,Bulgaria,France,1994
5527,16,DF,Iliyan Kiryakov,1967-08-04,35,Merida,26.0,Bulgaria,Spain,1994
5528,17,FW,Petar Mihtarski,1966-07-15,5,Pirin Blagoevgrad,27.0,Bulgaria,Bulgaria,1994
5529,18,FW,Petar Aleksandrov,1962-12-07,26,Levski Sofia,31.0,Bulgaria,Bulgaria,1994
5530,19,MF,Georgi Georgiev,1963-01-10,10,Mulhouse,31.0,Bulgaria,France,1994
5531,20,MF,Krasimir Balakov,1966-03-29,33,Sporting CP,28.0,Bulgaria,Portugal,1994
5532,21,FW,Velko Yotov,1970-08-26,6,Espanyol,23.0,Bulgaria,Spain,1994
5533,22,FW,Ivaylo Andonov,1967-08-14,5,CSKA Sofia,26.0,Bulgaria,Bulgaria,1994
5534,1,GK,Antonis Minou,1958-05-04,,Apollon Smyrnis,36.0,Greece,Greece,1994
5535,2,DF,Stratos Apostolakis,1964-05-11,,Panathinaikos,30.0,Greece,Greece,1994
5536,3,DF,Thanasis Kolitsidakis,1966-11-20,,Panathinaikos,27.0,Greece,Greece,1994
5537,4,DF,Stelios Manolas,1961-07-13,,AEK,32.0,Greece,Greece,1994
5538,5,DF,Ioannis Kalitzakis,1966-02-10,,Panathinaikos,28.0,Greece,Greece,1994
5539,6,MF,Giotis Tsalouchidis,1963-03-30,,Olympiacos,31.0,Greece,Greece,1994
5540,7,FW,Dimitris Saravakos,1961-07-26,,Panathinaikos,32.0,Greece,Greece,1994
5541,8,MF,Nikos Nioplias,1965-01-17,,Panathinaikos,29.0,Greece,Greece,1994
5542,9,FW,Nikos Machlas,1973-06-16,,OFI,21.0,Greece,Greece,1994
5543,10,MF,Tasos Mitropoulos (c),1957-08-23,,AEK,36.0,Greece,Greece,1994
5544,11,MF,Nikos Tsiantakis,1963-10-20,,Olympiacos,30.0,Greece,Greece,1994
5545,12,MF,Spiros Marangos,1967-02-20,,Panathinaikos,27.0,Greece,Greece,1994
5546,13,DF,Vaios Karagiannis,1968-06-25,,AEK,25.0,Greece,Greece,1994
5547,14,FW,Vasilis Dimitriadis,1966-02-01,,AEK,28.0,Greece,Greece,1994
5548,15,GK,Christos Karkamanis,1969-09-22,,Aris Thessaloniki,24.0,Greece,Greece,1994
5549,16,FW,Alexis Alexoudis,1972-06-20,,OFI,21.0,Greece,Greece,1994
5550,17,MF,Minas Hantzidis,1966-07-04,,Olympiacos,27.0,Greece,Greece,1994
5551,18,DF,Kiriakos Karataidis,1965-07-04,,Olympiacos,28.0,Greece,Greece,1994
5552,19,MF,Savvas Kofidis,1961-03-21,,Aris Thessaloniki,33.0,Greece,Greece,1994
5553,20,GK,Elias Atmatsidis,1969-04-24,,AEK,25.0,Greece,Greece,1994
5554,21,FW,Alekos Alexandris,1968-10-21,,Olympiacos,25.0,Greece,Greece,1994
5555,22,DF,Alexis Alexiou,1963-09-08,,PAOK,30.0,Greece,Greece,1994
5556,1,GK,Peter Rufai,1963-08-24,,Go Ahead Eagles,30.0,Nigeria,Netherlands,1994
5557,2,DF,Augustine Eguavoen,1965-08-19,,Kortrijk,28.0,Nigeria,Belgium,1994
5558,3,DF,Benedict Iroha,1969-11-29,,Vitesse,24.0,Nigeria,Netherlands,1994
5559,4,DF,Stephen Keshi (c),1962-01-23,,Molenbeek,32.0,Nigeria,Belgium,1994
5560,5,DF,Uche Okechukwu,1967-09-27,,Fenerbahçe,26.0,Nigeria,Turkey,1994
5561,6,DF,Chidi Nwanu,1967-01-01,,Anderlecht,27.0,Nigeria,Belgium,1994
5562,7,MF,Finidi George,1971-04-15,,Ajax,23.0,Nigeria,Netherlands,1994
5563,8,MF,Thompson Oliha,1968-10-04,,Africa Sports,25.0,Nigeria,Ivory Coast,1994
5564,9,FW,Rashidi Yekini,1964-10-23,,Vitória de Setúbal,29.0,Nigeria,Portugal,1994
5565,10,MF,Jay-Jay Okocha,1973-08-14,,Eintracht Frankfurt,20.0,Nigeria,Germany,1994
5566,11,MF,Emmanuel Amuneke,1970-12-25,,Zamalek,23.0,Nigeria,Egypt,1994
5567,12,FW,Samson Siasia,1967-08-14,,Nantes,26.0,Nigeria,France,1994
5568,13,DF,Emeka Ezeugo,1965-12-16,,Budapest Honvéd,28.0,Nigeria,Hungary,1994
5569,14,FW,Daniel Amokachi,1972-12-30,,Club Brugge,21.0,Nigeria,Belgium,1994
5570,15,MF,Sunday Oliseh,1974-09-14,,FC Liège,19.0,Nigeria,Belgium,1994
5571,16,GK,Alloysius Agu,1967-07-12,,FC Liège,26.0,Nigeria,Belgium,1994
5572,17,FW,Victor Ikpeba,1973-06-12,,AS Monaco,21.0,Nigeria,France,1994
5573,18,FW,Efan Ekoku,1967-06-08,,Norwich City,27.0,Nigeria,England,1994
5574,19,DF,Michael Emenalo,1965-07-14,,Eintracht Trier,28.0,Nigeria,Germany,1994
5575,20,DF,Uche Okafor,1967-08-08,,Hannover 96,26.0,Nigeria,Germany,1994
5576,21,MF,Mutiu Adepoju,1970-12-22,,Racing Santander,23.0,Nigeria,Spain,1994
5577,22,GK,Wilfred Agbonavbare,1965-10-05,,Rayo Vallecano,28.0,Nigeria,Spain,1994
5578,1,GK,Gianluca Pagliuca,1966-12-18,,Sampdoria,27.0,Italy,Italy,1994
5579,2,DF,Luigi Apolloni,1967-05-02,,Parma,27.0,Italy,Italy,1994
5580,3,DF,Antonio Benarrivo,1968-08-21,,Parma,25.0,Italy,Italy,1994
5581,4,DF,Alessandro Costacurta,1966-04-24,,Milan,28.0,Italy,Italy,1994
5582,5,DF,Paolo Maldini,1968-06-26,,Milan,25.0,Italy,Italy,1994
5583,6,DF,Franco Baresi (c),1960-05-08,,Milan,34.0,Italy,Italy,1994
5584,7,DF,Lorenzo Minotti,1967-02-08,,Parma,27.0,Italy,Italy,1994
5585,8,DF,Roberto Mussi,1963-08-25,,Torino,30.0,Italy,Italy,1994
5586,9,DF,Mauro Tassotti,1960-01-19,,Milan,34.0,Italy,Italy,1994
5587,10,FW,Roberto Baggio,1967-02-18,,Juventus,27.0,Italy,Italy,1994
5588,11,MF,Demetrio Albertini,1971-08-23,,Milan,22.0,Italy,Italy,1994
5589,12,GK,Luca Marchegiani,1966-02-22,,Lazio,28.0,Italy,Italy,1994
5590,13,MF,Dino Baggio,1971-07-24,,Juventus,22.0,Italy,Italy,1994
5591,14,MF,Nicola Berti,1967-04-14,,Internazionale,27.0,Italy,Italy,1994
5592,15,MF,Antonio Conte,1969-07-31,,Juventus,24.0,Italy,Italy,1994
5593,16,MF,Roberto Donadoni,1963-09-09,,Milan,30.0,Italy,Italy,1994
5594,17,MF,Alberigo Evani,1963-01-01,,Sampdoria,31.0,Italy,Italy,1994
5595,18,FW,Pierluigi Casiraghi,1969-03-04,,Lazio,25.0,Italy,Italy,1994
5596,19,FW,Daniele Massaro,1961-05-23,,Milan,33.0,Italy,Italy,1994
5597,20,FW,Giuseppe Signori,1968-02-17,,Lazio,26.0,Italy,Italy,1994
5598,21,FW,Gianfranco Zola,1966-07-05,,Parma,27.0,Italy,Italy,1994
5599,22,GK,Luca Bucci,1969-03-13,,Parma,25.0,Italy,Italy,1994
5600,1,GK,Jorge Campos,1966-10-15,54,Pumas UNAM,27.0,Mexico,Mexico,1994
5601,2,DF,Claudio Suárez,1968-12-17,41,Pumas UNAM,25.0,Mexico,Mexico,1994
5602,3,DF,Juan de Dios Ramírez Perales,1969-03-08,42,"Pumas UNAM
Monterrey",25.0,Mexico,Mexico,1994
5603,4,DF,Ignacio Ambríz (c),1965-02-07,,Necaxa,29.0,Mexico,Mexico,1994
5604,5,DF,Ramón Ramírez,1969-12-05,,Santos,24.0,Mexico,Mexico,1994
5605,6,MF,Marcelino Bernal,1962-05-27,,Toluca,32.0,Mexico,Mexico,1994
5606,7,FW,Carlos Hermosillo,1964-08-24,,Cruz Azul,29.0,Mexico,Mexico,1994
5607,8,MF,Alberto García Aspe,1967-05-11,,Necaxa,27.0,Mexico,Mexico,1994
5608,9,FW,Hugo Sánchez,1958-07-11,,Rayo Vallecano,35.0,Mexico,Spain,1994
5609,10,FW,Luis García,1969-06-01,,Atlético Madrid,25.0,Mexico,Spain,1994
5610,11,FW,Luis Roberto Alves,1967-05-23,,Club América,27.0,Mexico,Mexico,1994
5611,12,GK,Félix Fernández,1967-11-01,,Atlante,26.0,Mexico,Mexico,1994
5612,13,MF,Juan Carlos Chávez,1967-01-18,,Atlas,27.0,Mexico,Mexico,1994
5613,14,MF,Joaquín del Olmo,1969-04-20,,Veracruz,25.0,Mexico,Mexico,1994
5614,15,MF,Missael Espinoza,1965-04-12,,Guadalajara,29.0,Mexico,Mexico,1994
5615,16,MF,Luis Antonio Valdéz,1967-07-01,,León,26.0,Mexico,Mexico,1994
5616,17,MF,Benjamín Galindo,1960-12-11,,Guadalajara,33.0,Mexico,Mexico,1994
5617,18,DF,José Luis Salgado,1966-04-03,,Tecos,28.0,Mexico,Mexico,1994
5618,19,FW,Luis Miguel Salvador,1968-02-26,,Atlante,26.0,Mexico,Mexico,1994
5619,20,MF,Jorge Rodríguez,1968-04-18,,Toluca,26.0,Mexico,Mexico,1994
5620,21,DF,Raúl Gutiérrez,1966-10-16,,Atlante,27.0,Mexico,Mexico,1994
5621,22,GK,Adrián Chávez,1962-06-27,,Club América,31.0,Mexico,Mexico,1994
5622,1,GK,Erik Thorstvedt,1962-10-28,84,Tottenham Hotspur,31.0,Norway,England,1994
5623,2,DF,Gunnar Halle,1965-08-11,44,Oldham Athletic,28.0,Norway,England,1994
5624,3,DF,Erland Johnsen,1967-04-05,20,Chelsea,27.0,Norway,England,1994
5625,4,DF,Rune Bratseth (c),1961-03-19,57,Werder Bremen,33.0,Norway,Germany,1994
5626,5,DF,Stig Inge Bjørnebye,1969-12-11,34,Liverpool,24.0,Norway,England,1994
5627,6,FW,Jostein Flo,1964-10-03,23,Sheffield United,29.0,Norway,England,1994
5628,7,MF,Erik Mykland,1971-07-21,25,Start,22.0,Norway,Norway,1994
5629,8,MF,Øyvind Leonhardsen,1970-08-17,29,Rosenborg,23.0,Norway,Norway,1994
5630,9,FW,Jan Åge Fjørtoft,1967-01-10,50,Swindon Town,27.0,Norway,England,1994
5631,10,MF,Kjetil Rekdal,1968-11-06,32,Lierse,25.0,Norway,Belgium,1994
5632,11,MF,Mini Jakobsen,1965-11-08,44,Young Boys,28.0,Norway,Switzerland,1994
5633,12,GK,Frode Grodås,1964-10-24,12,Lillestrøm,29.0,Norway,Norway,1994
5634,13,GK,Ola By Rise,1960-11-14,25,Rosenborg,33.0,Norway,Norway,1994
5635,14,DF,Roger Nilsen,1969-08-08,20,Sheffield United,24.0,Norway,England,1994
5636,15,MF,Karl Petter Løken,1966-08-14,32,Rosenborg,27.0,Norway,Norway,1994
5637,16,FW,Gøran Sørloth,1962-07-16,54,Bursaspor,31.0,Norway,Turkey,1994
5638,17,DF,Dan Eggen,1970-01-13,2,Brøndby,24.0,Norway,Denmark,1994
5639,18,DF,Alf-Inge Håland,1972-11-23,3,Nottingham Forest,21.0,Norway,England,1994
5640,19,MF,Roar Strand,1970-02-02,1,Rosenborg,24.0,Norway,Norway,1994
5641,20,DF,Henning Berg,1969-09-01,16,Blackburn Rovers,24.0,Norway,England,1994
5642,21,FW,Sigurd Rushfeldt,1972-12-11,1,Tromsø,21.0,Norway,Norway,1994
5643,22,MF,Lars Bohinen,1969-09-08,29,Nottingham Forest,24.0,Norway,England,1994
5644,1,GK,Packie Bonner,1960-05-24,73,Celtic,34.0,Republic of Ireland,Scotland,1994
5645,2,DF,Denis Irwin,1965-10-31,26,Manchester United,28.0,Republic of Ireland,England,1994
5646,3,DF,Terry Phelan,1967-03-16,22,Manchester City,27.0,Republic of Ireland,England,1994
5647,4,DF,Kevin Moran,1956-04-29,69,Blackburn Rovers,38.0,Republic of Ireland,England,1994
5648,5,DF,Paul McGrath,1959-12-04,65,Aston Villa,34.0,Republic of Ireland,England,1994
5649,6,MF,Roy Keane,1971-08-10,22,Manchester United,22.0,Republic of Ireland,England,1994
5650,7,MF,Andy Townsend (c),1963-07-23,45,Aston Villa,30.0,Republic of Ireland,England,1994
5651,8,MF,Ray Houghton,1962-01-09,58,Aston Villa,32.0,Republic of Ireland,England,1994
5652,9,FW,John Aldridge,1958-09-18,57,Tranmere Rovers,35.0,Republic of Ireland,England,1994
5653,10,MF,John Sheridan,1964-10-01,19,Sheffield Wednesday,29.0,Republic of Ireland,England,1994
5654,11,DF,Steve Staunton,1969-01-19,47,Aston Villa,25.0,Republic of Ireland,England,1994
5655,12,DF,Gary Kelly,1974-07-09,5,Leeds United,19.0,Republic of Ireland,England,1994
5656,13,DF,Alan Kernaghan,1967-04-25,11,Manchester City,27.0,Republic of Ireland,England,1994
5657,14,DF,Phil Babb,1970-10-30,5,Coventry City,23.0,Republic of Ireland,England,1994
5658,15,FW,Tommy Coyne,1962-11-14,14,Motherwell,31.0,Republic of Ireland,Scotland,1994
5659,16,FW,Tony Cascarino,1962-09-01,50,Chelsea,31.0,Republic of Ireland,England,1994
5660,17,MF,Eddie McGoldrick,1965-04-30,12,Arsenal,29.0,Republic of Ireland,England,1994
5661,18,MF,Ronnie Whelan,1961-09-25,50,Liverpool,32.0,Republic of Ireland,England,1994
5662,19,MF,Alan McLoughlin,1967-04-20,17,Portsmouth,27.0,Republic of Ireland,England,1994
5663,20,FW,David Kelly,1965-11-25,16,Wolverhampton,28.0,Republic of Ireland,England,1994
5664,21,MF,Jason McAteer,1971-06-18,5,Bolton Wanderers,22.0,Republic of Ireland,England,1994
5665,22,GK,Alan Kelly,1968-08-11,3,Sheffield United,25.0,Republic of Ireland,England,1994
5666,1,GK,Michel Preud'homme,1959-01-24,,KV Mechelen,35.0,Belgium,Belgium,1994
5667,2,DF,Dirk Medved,1968-06-15,,Club Brugge,26.0,Belgium,Belgium,1994
5668,3,DF,Vital Borkelmans,1963-06-01,,Club Brugge,31.0,Belgium,Belgium,1994
5669,4,DF,Philippe Albert,1967-08-10,,Anderlecht,26.0,Belgium,Belgium,1994
5670,5,DF,Rudi Smidts,1963-08-12,,Royal Antwerp,30.0,Belgium,Belgium,1994
5671,6,DF,Lorenzo Staelens,1964-04-20,,Club Brugge,30.0,Belgium,Belgium,1994
